Product Name,Sale Price,Actual Price,Ratings,Offer,Number of Ratings,Number of Reviews
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","₹20,990","₹23,895",4.2,12% off,"3,209", 365
"REDMI 10 (Midnight Black, 64 GB)","₹9,499","₹14,999",4.3,36% off,"1,64,005"," 10,810"
"REDMI 10 (Pacific Blue, 64 GB)","₹9,499","₹14,999",4.3,36% off,"1,64,005"," 10,810"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,499","₹14,999",4.3,36% off,"1,64,005"," 10,810"
"REDMI 10 (Caribbean Green, 128 GB)","₹11,999","₹16,999",4.2,29% off,"21,463"," 1,599"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","₹16,999",4.2,29% off,"21,463"," 1,599"
"REDMI A1 (Light Blue, 32 GB)","₹6,100",Same as Sale Price,4.2,No Offer,"1,702", 131
"REDMI A1 (Light Green, 32 GB)","₹6,177",Same as Sale Price,4.2,No Offer,"1,702", 131
"REDMI Note 10S (Frost White, 64 GB)","₹12,999","₹16,999",4.4,23% off,"82,670"," 5,626"
"REDMI 10 Prime (Phantom Black, 128 GB)","₹12,999","₹16,999",4.2,23% off,"10,036", 735
"REDMI 10A (Sea Blue, 64 GB)","₹8,980",Same as Sale Price,4.2,No Offer,"4,915", 320
"REDMI 10 (Midnight Black, 128 GB)","₹11,999","₹16,999",4.2,29% off,"21,463"," 1,599"
"REDMI Note 11 SE (Bifrost Blue, 64 GB)","₹11,499","₹16,999",4.3,32% off,"29,255"," 1,825"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,790",Same as Sale Price,4.2,No Offer,"4,915", 320
"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹9,995","₹10,300",4,2% off,525, 36
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)","₹10,400","₹10,884",4,4% off,525, 36
"REDMI 9 Activ (Carbon Black, 128 GB)","₹10,499","₹12,999",4.2,19% off,"4,507", 306
"REDMI 10 Prime (Astral White, 128 GB)","₹12,999","₹16,999",4.2,23% off,"10,036", 735
"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,475",Same as Sale Price,4,No Offer,525, 36
"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹10,442",Same as Sale Price,4,No Offer,525, 36
"REDMI Note 11 SE (Space Black, 64 GB)","₹11,499","₹16,999",4.3,32% off,"29,255"," 1,825"
"REDMI 9 Activ (Coral Green, 128 GB)","₹10,499","₹12,999",4.2,19% off,"4,507", 306
"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹17,990",Same as Sale Price,4.2,No Offer,265, 19
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)","₹10,453",Same as Sale Price,4,No Offer,525, 36
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹14,999","₹18,999",4.2,21% off,"30,750"," 2,386"
"REDMI 10 Prime 2022 (Phantom Black, 64 GB)","₹11,999",Same as Sale Price,4.2,No Offer,"2,993", 215
"REDMI 9 Activ (Carbon Black, 128 GB)","₹10,499","₹12,999",4.2,19% off,"4,507", 306
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹14,999","₹18,999",4.2,21% off,"30,750"," 2,386"
"REDMI Note 11 SE (Thunder Purple, 64 GB)","₹11,499","₹16,999",4.3,32% off,"29,255"," 1,825"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"4,915", 320
"REDMI 9i (Sea Blue, 64 GB)","₹8,999","₹9,999",4.3,10% off,"5,75,855"," 33,950"
"REDMI Note 11S (Horizon Blue, 64 GB)","₹15,399",Same as Sale Price,4.3,No Offer,"2,075", 168
"REDMI Note 11S (Horizon Blue, 128 GB)","₹15,598","₹15,795",4.3,1% off,"2,075", 168
"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,091","₹8,990",4.2,10% off,"8,993", 640
"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","₹11,990",Same as Sale Price,4.2,No Offer,"2,993", 215
"REDMI 11 Prime 5G (Thunder Black, 64 GB)","₹13,930",Same as Sale Price,4.2,No Offer,769, 57
"REDMI 11 Prime 5G (Meadow Green, 64 GB)","₹14,295",Same as Sale Price,4.2,No Offer,769, 57
"REDMI 9 Activ (Metallic Purple, 64 GB)","₹8,390","₹8,990",4.2,6% off,"8,993", 640
"REDMI A1 (Black, 32 GB)","₹6,699",Same as Sale Price,4.2,No Offer,"1,702", 131
"REDMI 11 Prime 5G (Thunder Black, 64 GB)","₹13,859",Same as Sale Price,4.2,No Offer,769, 57
"REDMI 11 Prime 5G (Chrome Silver, 64 GB)","₹13,800",Same as Sale Price,4.2,No Offer,769, 57
"REDMI 11 Prime 5G (Meadow Green, 64 GB)","₹13,800",Same as Sale Price,4.2,No Offer,769, 57
"REDMI 11 Prime 5G (Meadow Green, 128 GB)","₹15,990",Same as Sale Price,4.2,No Offer,165, 14
"REDMI A1 (Light Green, 32 GB)","₹6,490",Same as Sale Price,4.2,No Offer,"1,702", 131
"REDMI A1 (Light Blue, 32 GB)","₹6,490",Same as Sale Price,4.2,No Offer,"1,702", 131
"REDMI NOTE 10 LITE (Aurora Blue, 64 GB)","₹12,990","₹13,315",4.3,2% off,"2,093", 165
"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹12,999","₹16,999",4.4,23% off,"82,670"," 5,626"
"REDMI A1+ (Light Green, 32 GB)","₹7,499","₹9,999",4.2,25% off,538, 44
"REDMI 9 Activ (Metallic Purple, 128 GB)","₹9,990","₹11,250",4.2,11% off,"4,507", 306
"REDMI Note 10S (Shadow Black, 128 GB)","₹16,499","₹20,999",4.2,21% off,"7,171", 664
"REDMI 10A (Slate Grey, 32 GB)","₹7,999",Same as Sale Price,4.1,No Offer,737, 52
"REDMI 11 Prime (Peppy Purple, 128 GB)","₹14,214",Same as Sale Price,3.5,No Offer,11, 1
"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹17,999","₹19,999",4.3,10% off,"41,572"," 3,892"
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹12,290",Same as Sale Price,4.3,No Offer,43, 4
"REDMI Note 11S (Horizon Blue, 128 GB)","₹15,829",Same as Sale Price,4.2,No Offer,865, 84
"REDMI A1+ (Light Blue, 32 GB)","₹7,499","₹9,999",4.2,25% off,538, 44
"REDMI Note 11S (Horizon Blue, 128 GB)","₹16,999",Same as Sale Price,4.2,No Offer,865, 84
"REDMI 11 Prime (Playful Green, 128 GB)","₹13,999",Same as Sale Price,3.5,No Offer,11, 1
"REDMI 9 Prime (Matte Black, 64 GB)","₹11,490",Same as Sale Price,4.4,No Offer,"2,26,780"," 15,262"
"REDMI 10 Prime 2022 (Astral White, 64 GB)","₹11,980",Same as Sale Price,4.2,No Offer,"2,993", 215
"REDMI 9i (Nature Green, 64 GB)","₹8,999","₹9,999",4.3,10% off,"5,75,855"," 33,950"
"REDMI Note 11S (Space Black, 64 GB)","₹16,999",Same as Sale Price,4.3,No Offer,"2,075", 168
"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹12,999","₹16,999",4.3,23% off,"44,058"," 3,195"
"REDMI 9 Activ (Coral Green, 64 GB)","₹8,590",Same as Sale Price,4.2,No Offer,"8,993", 640
"REDMI 9i (Midnight Black, 64 GB)","₹8,999","₹9,999",4.3,10% off,"5,75,855"," 33,950"
"REDMI Note 11S (Polar White, 128 GB)","₹15,998","₹16,970",4.2,5% off,865, 84
"REDMI 9 Power (Fiery Red, 64 GB)","₹11,499","₹13,999",4.3,17% off,"2,41,621"," 17,036"
"REDMI Note 10T 5G (Mint Green, 64 GB)","₹12,999","₹16,999",4.3,23% off,"44,058"," 3,195"
"REDMI Note 10 Pro (Dark Night, 128 GB)","₹17,999","₹19,999",4.3,10% off,"41,572"," 3,892"
"REDMI Note 10S (Deep Sea Blue, 128 GB)","₹16,499","₹20,999",4.2,21% off,"7,171", 664
"REDMI Note 11S (Polar White, 128 GB)","₹16,999",Same as Sale Price,4.2,No Offer,865, 84
"REDMI Note 11S (Horizon Blue, 128 GB)","₹16,411",Same as Sale Price,4.2,No Offer,865, 84
"REDMI 11 Prime (FlashyBlack, 128 GB)","₹14,357",Same as Sale Price,3.5,No Offer,11, 1
"REDMI K50i 5G (Stealth Black, 128 GB)","₹23,500",Same as Sale Price,4.2,No Offer,840, 121
"REDMI K50i 5G (Phantom Blue, 128 GB)","₹22,990","₹23,999",4.2,4% off,840, 121
"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹17,999","₹19,999",4.3,10% off,"41,572"," 3,892"
"REDMI A1+ (Black, 32 GB)","₹7,499","₹9,999",4.2,25% off,538, 44
"REDMI 11 Prime (Playful Green, 64 GB)","₹11,980",Same as Sale Price,4.3,No Offer,43, 4
"REDMI Note 10T 5G (Chromium Silver, 64 GB)","₹12,999","₹16,999",4.3,23% off,"44,058"," 3,195"
"REDMI Note 10 Pro Max (Dark Night, 128 GB)","₹19,499","₹19,990",4.3,2% off,"16,326"," 1,219"
"REDMI 9 Prime (Matte Black, 128 GB)","₹12,490","₹12,990",4.4,3% off,"2,26,780"," 15,262"
"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)","₹19,999","₹22,999",4.3,13% off,"16,326"," 1,219"
"REDMI Note 10S (Cosmic Purple, 64 GB)","₹12,999","₹16,999",4.4,23% off,"82,670"," 5,626"
"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹14,999","₹18,999",4.2,21% off,"30,750"," 2,386"
"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹19,999","₹22,999",4.3,13% off,"16,326"," 1,219"
"REDMI NOTE 10 LITE (Aurora Blue, 128 GB)","₹14,389","₹16,990",4.3,15% off,843, 67
"REDMI Note 10S (Frost White, 128 GB)","₹16,499","₹18,999",4.4,13% off,"82,670"," 5,626"
"REDMI 11 Prime 5G (Chrome Silver, 128 GB)","₹15,990",Same as Sale Price,4.2,No Offer,165, 14
"REDMI Note 11S (Polar White, 64 GB)","₹16,499",Same as Sale Price,4.3,No Offer,"2,075", 168
"REDMI Note 9 (Shadow Black, 128 GB)","₹14,999","₹18,999",4.3,21% off,"6,562", 438
"REDMI Note 9 (Shadow Black, 128 GB)","₹13,990","₹15,999",4.3,12% off,"1,23,446"," 9,425"
