Product Name,Sale Price,Actual Price,Ratings,Offer,Number of Ratings,Number of Reviews
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)","₹33,999",Same as Sale Price,4,No Offer,459, 55
"Redmi 7 (Eclipse Black, 32 GB)","₹8,799","₹10,999",4.4,20% off,"6,750", 487
"Redmi 7 (Comet Blue, 32 GB)","₹8,999","₹10,999",4.4,18% off,"6,750", 487
"Mi A2 (Red, 128 GB)","₹20,299","₹20,500",4.1,No Offer,"3,217", 291
"Redmi Note 11 (Starburst White, 64 GB)","₹17,899",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi 5 (Lake Blue, 16 GB)","₹8,498",Same as Sale Price,4.3,No Offer,"4,303", 381
"Redmi 5 (Lake Blue, 32 GB)","₹9,800",Same as Sale Price,4.3,No Offer,"6,517", 513
"Redmi 5 (Gold, 16 GB)","₹8,498",Same as Sale Price,4.3,No Offer,"4,303", 381
"Mi A1 (Gold, 64 GB)","₹14,599","₹14,999",4.4,2% off,"4,70,903"," 72,245"
"Redmi Y3 (Prime Black, 64 GB)","₹11,200","₹13,999",4.3,19% off,"3,510", 248
"Mi Max (Silver, 32 GB)","₹14,999",Same as Sale Price,4.3,No Offer,"18,749"," 4,054"
"11 Lite NE (Vinyl Black, 128 GB)","₹23,990","₹24,400",3.9,1% off,32, 4
"Redmi Note 4 (Dark Grey, 32 GB)","₹10,649","₹10,999",4.4,3% off,"6,42,199"," 1,10,373"
"Redmi Note 11S (Space Black, 128 GB)","₹20,000",Same as Sale Price,4.2,No Offer,724, 54
"Mi Mix 2 (Black, 128 GB)","₹37,545","₹37,999",4.3,1% off,"6,040"," 1,040"
"Redmi K20 (Flame Red, 128 GB)","₹23,999",Same as Sale Price,4.5,No Offer,"51,351"," 5,421"
"Mi 5 (Gold, 32 GB)","₹24,999",Same as Sale Price,4.3,No Offer,"19,288"," 3,854"
"Redmi 5 (Black, 64 GB)","₹11,990",Same as Sale Price,4.3,No Offer,"4,945", 334
"Mi Max (Dark Grey, 32 GB)","₹14,999",Same as Sale Price,4.3,No Offer,"18,749"," 4,054"
"Redmi 5 (Rose Gold, 64 GB)","₹11,999",Same as Sale Price,4.3,No Offer,"4,945", 334
"Redmi 5 (Rose Gold, 16 GB)","₹7,498",Same as Sale Price,4.3,No Offer,"4,303", 381
"Redmi Note 5 Pro (Red, 64 GB)","₹12,500",Same as Sale Price,4.5,No Offer,"11,71,973"," 1,22,566"
"Redmi Note 5 (Blue, 64 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,58,068"," 39,640"
"Redmi 3S (Dark Grey, 16 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"2,11,206"," 39,631"
"Mi Max (Gold, 32 GB)","₹14,999",Same as Sale Price,4.3,No Offer,"18,749"," 4,054"
"Redmi 3S (Silver, 16 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"2,11,206"," 39,631"
"Mi A2 (Red, 64 GB)","₹9,999",Same as Sale Price,4.2,No Offer,"34,800"," 2,908"
"Mi 5 (Black, 32 GB)","₹24,999",Same as Sale Price,4.3,No Offer,"19,288"," 3,854"
"Mi 10i (Midnight Black, 64 GB)","₹21,999",Same as Sale Price,4.3,No Offer,"2,997", 231
"9A Sport (Coral Green, 32 GB)","₹6,999",Same as Sale Price,3.6,No Offer,7, 1
"Mi 4i (Blue, 16 GB)","₹12,999",Same as Sale Price,4.2,No Offer,"80,867"," 8,835"
"Redmi 3S (Gold, 16 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"2,11,206"," 39,631"
"Mi 4i (Yellow, 16 GB)","₹12,999",Same as Sale Price,4.2,No Offer,"80,867"," 8,835"
"Mi 10i (Atlantic Blue, 64 GB)","₹21,999",Same as Sale Price,4.3,No Offer,"2,997", 231
"Redmi 7 (Lunar Red, 32 GB)","₹8,890","₹11,999",4.4,25% off,"6,750", 487
"Mi 4i (White, 16 GB)","₹12,999",Same as Sale Price,4.2,No Offer,"80,867"," 8,835"
"MI3 (Metallic Grey, 16 GB)","₹16,999",Same as Sale Price,4.4,No Offer,"15,241"," 5,100"
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹35,997",Same as Sale Price,4.2,No Offer,"3,209", 365
"Mi 4i (Grey, 32 GB)","₹14,999",Same as Sale Price,4.2,No Offer,"80,867"," 8,835"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹10,999",Same as Sale Price,4.5,No Offer,"2,59,743"," 25,224"
"Mi 10i (Pacific Sunrise, 128 GB)","₹22,690",Same as Sale Price,4.3,No Offer,"2,997", 231
"Mi A2 (Black, 128 GB)","₹13,999",Same as Sale Price,4.1,No Offer,"3,217", 291
"Redmi 3S Prime (Silver, 32 GB)","₹8,490",Same as Sale Price,4.3,No Offer,"4,75,946"," 87,156"
"Mi A1 (Rose Gold, 64 GB)","₹12,999",Same as Sale Price,4.4,No Offer,"4,70,903"," 72,245"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999",Same as Sale Price,4.5,No Offer,"3,20,420"," 26,388"
"Redmi K20 Pro (Pearl White, 256 GB)","₹24,990",Same as Sale Price,4.5,No Offer,"15,333"," 2,059"
"Redmi Y2 (Blue, 64 GB)","₹13,499",Same as Sale Price,4.4,No Offer,"27,443"," 1,926"
"Mi A1 (Red, 64 GB)","₹14,599","₹14,999",4.4,2% off,"4,70,903"," 72,245"
"Redmi 6A (Black, 32 GB)","₹5,599",Same as Sale Price,4.3,No Offer,"57,132"," 3,902"
"Redmi 7 (Lunar Red, 32 GB)","₹7,999",Same as Sale Price,4.3,No Offer,"14,324"," 1,093"
"Redmi 1S (Metal Gray, 8 GB)","₹5,999",Same as Sale Price,4.3,No Offer,"84,596"," 11,606"
"Redmi 7 (Lunar Red, 32 GB)","₹7,999",Same as Sale Price,4.3,No Offer,"14,324"," 1,093"
"Redmi 1S (Metal Gray, 8 GB)","₹5,999",Same as Sale Price,4.3,No Offer,"84,596"," 11,606"
"Redmi Note 7 (Onyx Black, 64 GB)","₹14,999",Same as Sale Price,4.5,No Offer,"1,78,652"," 16,513"
"11 Lite NE (Diamond Dazzle, 128 GB)","₹22,500",Same as Sale Price,3.7,No Offer,7, 2
"11 Lite NE (Tuscany Coral, 128 GB)","₹25,000","₹25,990",3.9,3% off,32, 4
"Redmi Y2 (Black, 64 GB)","₹13,499",Same as Sale Price,4.4,No Offer,"27,443"," 1,926"
"MI4 (White, 16 GB)","₹14,999",Same as Sale Price,4.1,No Offer,"26,590"," 3,143"
"Redmi 6 Pro (Rose Gold, 64 GB)","₹11,990",Same as Sale Price,4.3,No Offer,"10,890", 720
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹16,490","₹19,999",4.3,17% off,"1,950", 101
"11 Lite NE (Jazz Blue, 128 GB)","₹21,999","₹22,999",3.9,4% off,32, 4
"Redmi Y3 (Bold Red, 64 GB)","₹10,999",Same as Sale Price,4.3,No Offer,"3,510", 248
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹15,990","₹17,999",4.3,11% off,"1,950", 101
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹13,990","₹14,550",4.3,3% off,"26,623"," 1,827"
"Mi A3 (Kind of Grey, 128 GB)","₹17,499",Same as Sale Price,4.2,No Offer,"15,219"," 1,375"
"Mi A3 (Not just Blue, 128 GB)","₹17,499",Same as Sale Price,4.2,No Offer,"15,219"," 1,375"
"Redmi 2 Prime (Grey, 16 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"1,21,378"," 10,759"
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 128 GB)","₹33,298",Same as Sale Price,4,No Offer,459, 55
"Redmi Note 7 Pro (Moonlight White, 128 GB)","₹16,450","₹17,999",4.5,8% off,"3,20,420"," 26,388"
"Redmi 4 (Gold, 32 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"8,376", 785
